office,name,incumbent,meta,platform
Ward 4,Greg Miller,challenger,Greg Miller - Ward 4,"We Can Do Better For Ward 4We enjoy terrific communities in Ward 4 and as residents we’re proud to call them home. But we face many challenges, including aging community infrastructure, overloaded public transit, pressure from new development, closing shops and disappearing green spaces. I worry we’re falling behind. Ward 4 deserves a Councillor who will be an informed, effective advocate for our communities. Here’s my plan to make Ward 4 better:1. Build Better Connections and Safer Streets•The Green Line LRT will end at 16th Ave in Stage One. I’ll fight to bring the Green Line north into Ward 4 and to get all Calgarians a step closer to an Airport train link.•Build the long overdue intersection upgrade at John Laurie and McKnight Boulevards.•Support cost-effective Bus Rapid Transit projects, especially across North Calgary and not just to downtown.•In 2016 Calgary averaged nearly a pedestrian collision per day, and nearly a pedestrian death per month. Let’s make our streets safer for people walking, biking, riding, and driving by investing in infrastructure for all modes of transportation.2. Spur Business Growth, Spend Responsibly•Make Calgary a top choice for businesses by building on our pro-business environment. Beyond great infrastructure and fair taxation, companies need housing choice, transportation choice and vibrant communities to attract and retain their workforces.•Ease the tax burden on small and medium businesses as Calgary’s economy continues to recover.•Attract local businesses and services our Ward 4 communities need to thrive.•Bend the cost curve on the City’s operating budget by better managing growth.•Without major concessions from the IOC, we should not spend billions on the Olympics.3. Invest In Our Aging Community Infrastructure•Secure our fair share of investment to maintain and improve Ward 4 infrastructure such as parks, libraries, rec centres, arenas, and community centres.•Work with school boards to bring more local children to our local schools.•Explore sharing opportunities among schools, community groups and seniors.•Invest in our precious green spaces that make our communities livable. The Highland Valley development does not benefit our communities and must be reconsidered.4. Promote Good, Sensible Development•Focus good development — and not just any development — along the edges of our communities, especially along transit corridors like Crowchild Trail and Centre Street.•Provide housing choice for our seniors, as well as young adults and their families.•Create local plans that respect existing communities and encourage investment in housing and services.•End the proliferation of unsafe illegal secondary suites and wasteful Council meetings by properly regulating safe, legal suites.Ward 4 deserves more. Please help me deliver more for you. Vote Greg Miller for Ward 4 Councillor."
Ward 4,Sean Chu,incumbent,Sean Chu - Ward 4,"When I was elected in 2013, I had a clear set of priorities:Better public transit for my Ward, given the challenges we face on Centre Street; making our streets safer for pedestrians and commutes better on our way home; and to bring fiscal accountability and common sense in spending decisions to City Hall. My focus has been these issues, and I want to continue the work that I have started with your help. Our Ward is a developed part of the City and as such we have challenges in improving our transit routes, renovating our community hubs, and ensuring that your property taxes are used properly for infrastructure. Needs vs. wants has always been my mantra.My largest focus during my first term was on the Green Line, and I succeeded in bringing what was only a line on a map, to construction starting in 2020. We were all disappointed by the City’s news that it would be phased. Nowhere in the reports and countless meetings I had, did the City say this would be the case. I fought for funding for the Green Line for a full 45km track, and will continue this fight if reelected. I have pushed the City to find savings so that we can build it north, and we have done that, so much that we could build it to 40th Avenue, two stops north of 16th Avenue.Second, I have also been the fiscal hawk at City Hall and have continuously pressured City Administration to find savings, review City programs, find innovative solutions to cut costs, and always asked my colleagues when we review budgets and spending to ask if this a need or a want. I will remain the defender of your tax dollars. I will continue to push for the City to keep reviewing all department budgets, and promote a culture of innovation in City staff to find ways to cut costs, in order to provide faster and more efficient services. I am also proposing a panel of small business owners and City administration to find ways to help businesses succeed, rather than be a hindrance to success. If small businesses succeed, our City does also.Finally, I have focused on practical traffic and pedestrian safety measures that make a difference to you and your family. I have pushed hard for repainting our crosswalks, and installing flashing pedestrian crosswalk signs, speed flashing signals, reflective tape on stop signs, in order to help decrease accidents and make it safer for our kids. I have also worked to make changes to major intersections to make traffic flow safer in rush hour, with more turn lights, and redesigned intersections.Better transit for our Ward, fiscal discipline, safety – these have been my areas of focus since 2013, and will continue to be my focus if I earn your support again on October 16th. I have been open, and transparent, and have always treated your tax dollars with respect. With your trust, I hope to continue the work I have started."
Ward 4,Srinivas Ganti,challenger,Srinivas Ganti - Ward 4,"The central plank of my candidacy is LEAN in MUNICIPAL GOVERNANCE, by which I mean , avoiding iterative loops and rework and aspiring for manufacturing level efficiencies in Council functioning and by extension City operations. This also means being able to answer how much value added work are we citizens getting for each tax $ expended on direct &amp; indirect works and not being satisfied with a simple attribution of each tax $ to various city departments and services.I support a robust and rigorous budget planning process based on empirical evidence doing identical work/projects and reliable cost models and oppose phased estimating approaches which invariably under‐estimate costs and risks and over‐estimate benefits and defer the reckoning of project profitability to the very end at which time it is too late. In support of the preceding, the city's external auditor should be tasked with reporting on the Capital spend efficiency @ City.To keep businesses competitive and in the interests of tax equity, I support the MMGA (Modernized Municipal Government Act – Bill 21) proposed linked tax ratio of 5:1 and support a franchise fee model based on cost of delivery alone and not total cost of utility supplied, so the volatility of cash flow from this stream is minimized. On the matter of secondary suites (SS) , where safe and all requirements for a secondary suite are met, permissible uses under current zoning should be the basis for approving or rejecting an application and I oppose council looking into every single SS application. On the matter of public art, I believe art is meant to be controversial but will insist on the incorporation of local content while acknowledging that monuments for public art have a tendency to grow on us over time. On the matter of affordable housing, I am committed to stacking municipal efforts on top of the federal governments National housing Strategy (2016) and Affordable housing initiative to replenish and renew affordable housing stock and am for flexible securitization and funding for social housing developers to cover all aspects of pre‐construction financing ( as suggested by www.fcm.ca ).The first group of regulatory changes to MGA which will come into force just prior to the election were widely discussed and feedback collected online around the issues of collaboration with indigenous communities, enforcement of ministerial orders, parental leave for municipal councillors, environmental stewardship and amalgamations and annexations, I am in agreement with the results/feedback and this agreement can be deemed an extension of my platform outlined in the 3 previous paragraphs. Details of the survey results can be reviewed @  https://mgareview.alberta.ca/wp‐content/upLoads/media/WWHContinuing‐the‐Conversation.pdfHopefully, I have demonstrated a reasonable grasp of issues , enough to earn your vote and those of youI will catch on my door‐knocking runs can grill me more at your door step."
Ward 5,Aryan Sadat,challenger,Aryan Sadat - Ward 5,"FISCAL RESPONSIBILITY AND ACCOUNTABILITYAs your Ward 5 Councillor, I will work with my colleagues on Council to make your tax dollars go to the things we need as a City and fight against reckless spending while our economy is declining. In 3 years, $7 million dollars has been spent on public art including $471,000 on the Blue Ring and $236,000 on an LED light installation on a NorthEast Water processing plant. While art is important to the community, we need to stop spending money because the current policy permits it; and we need to start focusing on local talent instead of international talent. $5 million was allocated to the Calgary Bid Exploration Committee (CBEC) just to report back to Council of a bid was feasible. Their report came back with a price tag of $50 million to bid and $4.6 billion to host. While some funding can come from the federal and provincial governments, it ultimately comes from the taxpayers. Council agreed to spend $7.1 million on a pilot project for bike lanes in the core at a time when Calgarians are losing jobs and the economy is suffering. That is a spend of $14 million of taxpayers money on wants for our city, not our needs. Line items I would have opposed as your Ward 5 Councillor. I will report quarterly to Calgarians as to what my office spends and commit to having among the lowest expenses of my colleagues. Being your Councillor is about representing you, our communities responsibly and with transparency.SAFER COMMUNITIESBuilding safer communities is not only about policing and fire halls that service Ward 5 but working with the City departments to create safer roads and intersections in our communities. Requesting Traffic Studies in areas where the established communities and the newer communities assure that we have safety for all our residentsAs Ward 5 continues to grow with newer communities being developed, I want to collaborate with established communities, their associations and Ward 5 residents to make sure that we have the right infrastructure, transportation routes and green spaces in place to maintain our quality of life in Ward 5. Growth for the sake of growth doesn't build our future, working with all stakeholders in Ward 5 as well as the City of Calgary so that we live in a dynamic City that is a destination to work, live and play."
Ward 5,Balraj (Raj) Nijjar,challenger,Balraj (Raj) Nijjar - Ward 5,"1.	Empowering and listening to the city employees: The front line workers are the ones that understand the most cost effective and efficient opportunities on the ground level when it comes to service delivery.The “one for all” service delivery approach is rigidly defined and needs revitalization.2.	Affordable housing: Ensure city continuously work with public and private partners and stakeholders to ensure a robust affordable house plan with a diversity of options. The developers must be engaged in policy making to ensure that certain percentage of the new housing is designated for affordable housing. All government agencies must be engaged to leverage their expertise and resources to initiate micro loan and flexible mortgage options for the low income groups. Work to alleviate waiting time for the most needy segment of the group.3.	Create accountability with measuring goals for City spending: I believe that the focus should not be solely on the dollars spent. Tax payers must also get the intended results and value for their dollars. The municipal governments must work towards service excellence by measuring and comparing performance.4.	Respect for Taxpayers money: Public must be engaged and consulted on major budget items. The taxpayers must be involved prior to the decision making rather than a way to justify decisions. Councillor must be accountable to the citizens and tax payers they represent.5.	Make communities and neighborhoods safer, healthier and stronger in Ward 5: At municipal level, we need to initiate community based research in the ethnically and professionally most diverse ward. The programs and services must be tailored to the needs of the Ward 5 constituents. The strong neighborhood initiatives must be taken after listening to local people with focus on revitalizing the neighborhoods. The initiatives must be designed to reflect the community’s desires, demographics and development interest.6.	Commitment to transparency to the community on the city council decision making process: I am committing to share information with the ward 5 residents about the decision making process at the city council. I also propose and support that city must keep a formal registry of all lobbyists at the city hall, and this registry must be made public. It will help restore public trust in the council further."
Ward 5,George Chahal,challenger,George Chahal - Ward 5,"I am the son of immigrant parents who worked hard to provide opportunities for me and my siblings to succeed. I am a strong proponent of investing in our youth, providing opportunities for our seniors and ensuring we are working to build a dynamic productive community. I believe in fiscal responsibility, reducing red tape and greater bylaw enforcement.Strong communities are a reflection of how we treat all parts of our community including new Calgarians, those who are less fortunate, seniors and small business owners. Businesses, community associations, cultural and religious groups have to work together to ensure prosperity as well as safe and clean communities. I believe in working with residents and communities to develop an affordable housing strategy as well as enhancing and developing recreational facilities.As a young diverse ward, our residents need opportunities to connect and collaborate through community building initiatives. I propose continuing the great work done at the Genesis Center by expanding the Centre to offer more programs for our growing communities but also begin the planning of a new North Calgary Recreation Center which brings residents of Ward 5 together. Opportunities for sports and recreation provide numerous health benefits but also teaches children important life skills such as; teamwork, self-confidence, public speaking, and leadership skills.Our ward has a high percentage of new Calgarians who either migrated from other parts of Canada or have immigrated to Canada. Calgarians come from many different socio-economic and cultural backgrounds. We need to listen, understand, and explain the shared Canadian values that bring us together. We need to ensure that all residents become part of the Canadian fabric and the local community. Diversity is the strength of our community, our country and we are stronger together.Our city is one of the main growth engines of the Canadian economy. Affordable housing, infrastructure, transit, and fiscal prudence are issues of importance to me. I do believe that we need to prioritize and balance expectations within a fiscal framework. Ultimately, we as taxpayers, will need to fund any increase in expenditures. I strongly believe that property and business tax increases should be held at the rate of inflation and any additional expenditures will need to be balanced by savings. Accordingly, whether we are looking at a new stadium for our professional sports team or a new Winter Olympics initiative; we must ensure that city council works within a fiscal framework that is in the interest of all Calgarians."
Ward 5,Hirde Jassal,challenger,Hirde Jassal - Ward 5,"TOWN HALL MEETINGS: The Town Hall Meetings are very important for ward‐5 residents as well as for myself. I am strongly committed to organize &amp; attend the Town Hall meetings in ward‐5 therefore the input of the constituents of ward‐5 could be delivered and shared with the City Council.YOUTH’S COMMUNITY INVOLVEMENT: As a Provincial Director for Canadian Transplant Association, I am proud to say that I have a large team of volunteers which consists of both youth and adults. It would be one of my top priorities to have the youth engaged from ward‐5 in various community services; therefore, they can understand their responsibilities toward the society.SENIOR CITIZEN: Being the Director of the South Asian Canadian Association; which is a Senior Citizen registered society of Calgary, I understand the matters that affect the life of senior citizens. For example, language barrier leaves senior citizens facing with struggle to rebuild their lives &amp; it generates negative emotional &amp; cognitive responses. Use of a computer, how to answer the important phone calls from government authorities are the few big issues of senior citizens to adjust their life in the Canadian system. I will honestly support occasional workshops therefore the senior citizens can share their wealth of skills and experiences with the communities.LEGISLATION OF SECONDARY SUITE: A number of residents of ward‐5 want to rent out their basements either to boost their income &amp; help pay down their mortgage or providing accommodations for elderly parents. As a Councillor, my responsibility is to provide knowledge about a legal and safe basement suite.CELEBRATION OF CULTURAL FESTIVALS: Ward‐5 has a lot of diversity, and thus there are many different religious and cultural festivals in this ward. A strong input came in while door knocking that these all festivals could be celebrated together to understand each other’s cultural values. I support &amp; will continue to encourage this idea.INFRASTRUCTURE IMPROVEMENTS: The existing infrastructure requires renovation therefore this could attract residents of ward‐5 for the maximum use of these facilities. Being a Councillor I will try to get funding for this project ASAP.LAW &amp; ORDER; In these recent years, the crime rate and drug abuse have increased drastically. I want to organize workshops in ward‐5 frequently to raise awareness among the constituents especially the young generation about these growing issues.PROPERTY &amp; BUSINESS TAX: I have met many small business owners who want a good business tax policy and incentives to run their businesses for a long period of time. I will actively play my role on the basis of input from the constituents of ward‐5 before any year end amendments are made by the CityCouncil in the property &amp; business taxes.I have an honest understanding of the matters that affect our communities in ward‐5. You can be confident about my candidature &amp; I look forward to serving as the City Councillor for Ward‐5."
Ward 5,Sarbdeep (Preet) Baidwan,challenger,Sarbdeep (Preet) Baidwan - Ward 5,"STRONG FISCAL RESPONSIBILITY;*	Reduce Calgarians tax burden and help families in these challenging economic times;*	Limit City portion of property tax increases for 4 years to the rate of inflation, to help homeowners.*	No increase in business or non‐residential property taxes above the rate of inflation for 4 years, to help businesses.*	Increase snow removal and other essential city services to the NE, so we get the services we pay for. SAFETY, SECURITY &amp; COMMUNITY*	Preet supports more NE community police resources, to provide better safety.*	Preet supports more police programs, that fosters better community liaison.*	Preet supports more programs to stop drug addiction and abuse, to help in the fight against drugs.*	Preet support new recreational facilities in newer NE areas, to encourage more community programs and a healthier lifestyle.ACCOUNTABILITY &amp; ACCESSIBILITY*	Stop the Genesis Park rezoning.*	Support legalized secondary suites*	Meet regularly with Community Associations.*	Consult with you &amp; community leaders before voting on important issues.*	Always available to listen and act on your concerns."
Ward 5,Tudor Dinca,challenger,Tudor Dinca - Ward 5,"This upcoming election will bring to Calgary’s most diverse area new ward boundaries. With this new layout come both some interesting challenges and opportunities.On the south side of the ward there are the established neighbourhoods of Castlerigde, Falconridge, Taradale, Martindale and Saddleridge. The greatest challenge to this part of the ward will be to rebuild and renew aging infrastructure. In order to achieve this, a new partnership between the City, individual owners and local businesses must take shape. An agreement that will afford citizens the tools to rebuild their communities in line with today’s standards.On the north side of the ward newer communities like Redstone, Skyview Ranch, Savanna, Cornerstone and Cityscape although at earlier stages in their development, lack many essential services, not least a police station and a community center; on the infrastructure side, the lack of funding for future LRT expansion being the most glaring omission by the City.Here is how I think we can address these challenges and make Ward 5 an even better place to live:1. Safe neighbourhood – while door knocking many of you told me how much you value your family’s safety.  This issue must be addressed; no person should feel unsafe when walking at night or fear for their child’s safety when him/her walk or bike in their neighbourhood. Safety is necessary to any healthy community, which is why I have placed this particular issue at the top of my platform.2. Freedom of choice – Our community would be better off if more people had more choices in how they got around – accessing school, work, recreation and other activities. More safe choices to move about the ward and around the city by car, transit, on bike or simply on foot will make our community more resilient and vibrant.3. Better public services – Services such as snow removal, maintenance of public spaces and lack of appropriate public lightning are concerns that have keep popping up at the door. This is for good reason as many corners of the NE have been neglected and fallen in disrepair.4. Sustainable urban planning  – For too long the city has developed based on a short sided vision, building new districts without access to basic services while allowing existing neighborhoods to decline.  If we want Calgary to thrive and maintain its position as a world class city, we must invest in more resilient models of community building.5. Community regeneration: The key to creative, safer, healthier communities is engaging our citizens on topics that are most important to them. More community participation and participatory budgeting is key not only for the NE but for the city at large.6. Smart spending – Every person aims to get the most out of their money so too should city hall. With every new project and contract, I will do my very best to make sure that our tax money is being spent with our ward’s and city’s best interest in mind."
Ward 6,Alex Columbos,challenger,Alex Columbos - Ward 6,"THERE WILL BE CLEARER DAYS AHEAD FOR ALL CALGARIANSAlex Columbos will create a brighter future for the residents of Ward 6 with a focus on:•	Connecting our Communities•	Planning and Infrastructure•	Resources for Schools•	Strengthening our Economy•	Community SafetyMy platform is based on what has built Calgary to where it is today:•	A can do and positive attitude, where strong opportunity creates economic prosperity to all•	A willingness to work hard and take appropriate risks; one where anyone can achieve what they set their minds to; and•	A great place to raise familiesMy business experience in small, start up, a Calgary based Global 2000 (one of the world’s 2000 largest companies) and not for profit businesses will bring a unique perspective to City Council and Ward 6 to help make smart, transparent, informed and realistic decisions.•	My platform is built on executing the wants and needs of Ward 6 and I will not stand on the sidelines when tough decisions are required for you or all of Calgary.•	I will also ensure by being proactive that critical issues do not reach a tipping point that could negatively affect us all.Recognizing, having candid dialogue and addressing problems is always challenging. I have faced challenges head on throughout my career and worked with stakeholders to create meaningful solutions.I look forward to working with Council and all Calgarians for the benefit of our great City."
Ward 6,Esmahan Razavi,challenger,Esmahan Razavi - Ward 6,"As a resident of Ward 6, you face an important choice on October 16th. This election will determine how we choose to forge a path ahead for our ward and for our city. The vision that I offer is built on the optimism and hope that is quintessential to being Calgarian. After months of conversations with Ward 6 residents and stakeholders, I have identified four themes that form the foundation of my platform: Strong Economy, World Class Infrastructure, Smart Development, and Safe Communities.Strong Economy: The state of Calgary’s economy is at the forefront of the minds of all Calgarians. Whether it is the stress of paying property taxes on our small business, the anxiety of being included in the next round of layoffs, or trying to put food on the table, not one of us has emerged unscathed from the economic downturn. Calgarians and Ward 6 residents value fiscal responsibility. Through providing economic relief for residents and small businesses, as well as encouraging innovation and advocating for a competitive business environment that draws in investors from all over the world, we can build a strong economy.World Class Infrastructure: For our economy to be competitive, we need to have world class infrastructure - the kind that makes our city a place where the best and brightest minds from all over the world want to come and live. We also need to maintain the infrastructure we have already invested in - like our roads and transit systems.Smart Development: Calgary is constantly attracting new residents and as a result, our city is growing. In 2016, Ward 6 was one of six wards in the city to see an increase in its population. This growth brings change as our ward and city adapt to the needs of our new community members. Smart development is needed to preserve what we love about our communities while accommodating the changes that come with increased density.Safe communities: Our neighbourhoods and communities serve as the building blocks of our city, province and country. They are the places we live in and for us to be able to enjoy them, we have to make sure that they are great environments for everyone. We care about our neighbourhoods and we want to make sure that they remain great places to raise our families, grow old, form friendships with our neighbours, and feel like we belong.Calgary is at its best and most successful when it looks to the future with hope, a desire for innovation and the belief that we are and will continue to be a vibrant land of opportunity. The platform I have put together reflects these values and the months of engagement that I have done with residents and stakeholders. Visit my website at www.esmahanrazavi.ca to read my full platform and discover why I’m the right choice for Ward 6."
Ward 6,Grace Nelson,challenger,Grace Nelson - Ward 6,"I am Grace Nelson, and I would like to convince you to vote for me for City Councillor - representing the communities in Ward 6 SW Calgary.To make this City work better, we all need to do our homework. Here is part of my plan.1.	Charity begins at home. Keep employment here before we seek other professionals and experts from outside our city. Let’s ensure we have given our homegrown talent a chance to work with us. Also, potential bidders should disclose to the public, the percentage of sourcing of local goods, materials and services.2.	Effective communication between businesses, City departments, and NeighbourhoodsResidents want to be more engaged in decision at planning and implementing stages of our infrastructure projects. Effective communication between stakeholders can avoid   disappointments and negative response to projects at approval and completion stages. Recent examples are: public art and sculpture, Seniors’ Associations, the South West Ring Road, more traffic lights, affordable housing, construction, secondary suites, direct light fixtures, traffic concerns, Parks and Recreation, public events draw. Let us know that clearly, we can do better.3.	Preserve the institutions that have made us unique.Our hospitals, the Saddledome, Olympics Training Facilities, museums and post-secondary institutions are just some of the institutions which shape our Calgary identity. Let’s maintain that friendly Western hospitality and show the world that we welcome diversity and inclusiveness. Visitors and new arrivals to our city make important contributions to our economy. We want to keep moving forward while ensuring we maintain our peaceful lifestyle.4.	Maintain Calgary as a resilient, prosperous and thriving CityOur frequent boom, flood, burn and bust cycles must not continue or we will lose the soul of the City. We need to be more resilient and diversified economically, so we don’t feel the pinch. Our empty business spaces need to be filled with businesses that can sell their services and products to an employed market. Lower taxes on small businesses and provide easy access to these establishments. We must make our transit system efficient.  Long travel times are unacceptable.  Residents should not have to pay high admission costs to visit the interactive Museums. We must have quick access to a Reserve Emergency fund when disaster hits and be well prepared for such events.5.	Encourage research and education initiativesAs we transition to an environmentally sustainable lifestyle, Calgary needs encouragement in research and education to make this possible and to create jobs in this City that I love. This includes implementing policies that encourage safe and affordable housing for all demographics.These ideas and suggestions were given to me by the thousands of households that I have visited over this campaign period.Let us continue to share our wisdom and our vision for Calgary.Go with Grace!"
Ward 6,Jeff Brownridge,challenger,Jeff Brownridge - Ward 6,"Leadership:One of the themes that you will find throughout my platform is responsible management of the finances of our city and the taxes that we collect. I am a firm believer that leadership needs to come from our elected officials and I will not vote for any salary increases in my first term as councilor if I am elected.I will also pledge to attend as many events and community association meetings as I can to help ensure that I am always listening to the concerns of the residents of Ward 6 and representing your views to our City Council.Fiscal Responsibility:Research by the Canadian Taxpayers Federation concluded Calgary’s property taxes increased almost three times the rate of inflation between 2005 and 2015. Research by the Canadian Federation of Independent Business shows that municipal spending in Calgary and Edmonton increased two and a half times faster than inflation and population growth between 2005 and 2015.I am pledging to keep our property tax increases as low as possible and I will strive for ways to deliver efficiency and eliminate wasteful and unnecessary spending.  Calgary is still a growing city that needs to balance the delivery of essential services, recreation, and a high quality of life with a responsible and accountable level of budgetary spending.Traffic and Congestion:Anyone that has lived in Ward 6 over the last decade knows that traffic and congestion are serious issues of concern.I will pledge to take a careful look at all development projects to ensure that any increases in density will be managed with transportation planning and infrastructure projects so that we are not impacted with further traffic and congestion issues.Transparency:The current City of Calgary Council spends more time than any other major city in Canada in meetings that are in camera. These meetings are closed to the public and members of the media.I will pledge to push for a reduction in the number of meetings that are being held under this veil of secrecy.Economic Development:In the ten years from 2002 to 2012, small businesses in Canada were responsible for 77.7% of all jobs created in the private sector; however, only half of new firms (51%) survive their fifth year of operation.Government policies and taxation at the Federal, Provincial and Municipal level can all have a significant impact on the ability for our businesses to thrive and succeed. Employment in Calgary has seen significant challenges during the current economic downturn and our city council can have a direct influence on the viability of the businesses that we create and the employment growth that these companies generate.I will pledge to find ways to support our local businesses so that they can be successful and continue to provide high quality employment opportunities."
Ward 6,Jeff Davison,challenger,Jeff Davison - Ward 6,"Collaboration. Efficiency. Focused on Ward 6. Focused on you!Ward 6 is my home. I was born and raised in the community of Glamorgan and I am proud to raise my family in West Springs today.We deserve better value for our tax dollars. It’s time we put efficiency, collaboration and accountability back in city council.As your next Ward 6 Councillor, I will fight effectively to see that our next administration moves away from a tax and spend philosophy to focus on a collaborative agenda of sensible spending priorities over the long‐term.I will fight to champion these key priority areas:•	Ensuring the needs of Ward 6 are prioritized by fostering proactive and collaborative development between citizens and City Hall•	Developing sustainable communities that are vibrant and safe for all our citizens•	Improving operational efficiencies and developing responsible cost control strategizes that focus on prioritizing our needsAny campaign worthy of Ward 6 and this great city must have a strong foundation. To the residents of my home, Ward 6, here is what I say to you:I will ensure the needs of Ward 6 are not overlooked. We deserve a leader who will work proactively and collaboratively to put the needs of our communities first. My goal is to ensure Council hears our collective voice on all growth and development matters—before projects are approved, not after.I will build and develop safe and vibrant communities. When it comes to the well‐being of all of our citizens, only safer, thriving communities will suffice. I want to proactively collaborate with you as we plan for tomorrow, not react to the needs of yesterday. Whether you are parents on the go or busy professionals, effectively managing growth and significantly improving traffic flow in our Ward will help make your day a little easier.I will focus on cost control. How does large‐scale spending affect our Ward and all Calgarian’s? We deserve to know the answer every time the city opens its coffers. I will push for prioritized spending that meets rigorous cost‐benefit testing. I will drive for increased efficiencies, streamlined regulations and lower costs at City Hall. By reining in extensive tax increases and wasteful spending, we will support stronger financial controls that will benefit of all our citizens.I will never forget my first priority – you, the residents of Ward 6! You are my friends, my family and my neighbours. Each and every one of you have a voice and I want to hear you make a statement on October 16th by voting Jeff Davison, Councillor for Ward 6. Together, we can put efficiency, effective collaboration and true accountability back in city council."
Ward 6,Sanjeev Kad,challenger,Sanjeev Kad - Ward 6,"BIGBig Stature. Big Ideas. Big Perspective. Big Experience.Calgary’s Ward 6 is a place where big thinkers turn ideas into action. A place where big dreams can be combined with hard work to get results.Kad’s global experience, big-picture thinking and business understanding has prepared him to be a City Councillor. What are some of his big ideas?- Change the way property assessments are done in Calgary – assessing property when it changes hands rather than every year protects homeowners, families and seniors while saving taxpayer dollars- Establish a one-window approach to city services for entrepreneurs- Champion and remove red-tape for property owners and senior citizensBOLDBold Personality. Bold Thinking. Bold Approach. Bold Improvements.Calgary’s Ward 6 is home to bold, community builders and leaders that are willing to challenge the status quo. Ward 6 residents are diverse, experienced, fair, and never give up.Kad’s experience as a business owner has honed his ability to identify problems and work quickly to solve them. Kad has a passion for turning around failing businesses and making them profitable and successful – this bold approach is needed at the City Council table. What are some of his bold ideas?- A job audit of City employees to find efficiencies and cut duplication- Taking a position on secondary suites, a new arena, an Olympic bid and other contentious issues and facilitating an open dialogue to constructively move these matters forward- Open-door policy for all residents of Ward 6 – no idea is off the table; Kad will ask critical questions for all people he representsBEAUTIFULBeautiful Communities. Beautiful Outlook. Beautiful Collaboration. Beautiful Future.Calgary’s Ward 6 is home to some of Calgary’s most beautiful destinations, from parks and green spaces to incredible pieces of modern infrastructure and from the established communities to the newer areas.Kad’s is a forward-thinking leader that believes it is important to ensure that everyone has the opportunity to reach their full potential. Kad’s background as an Indian Scandinavian Canadian has given him a global lens on the opportunities to make Ward 6 a better place. What are some of his beautiful ideas?- Democratize the selection process for new public art – let citizens have a say before art is selected and built- Use money dedicated to public art on new major roadways for noise reduction and sound proofing to positively impact the quality of life of those affected- Smart density – don’t create density for the sake of density; plan smart density in each quadrant of the cityCalgary’s Ward 6 residents need a City Councillor who is thinks as big, as boldly, and as beautifully as they do. Vote Kad for Ward 6 to get that voice on Council."
Ward 6,Sean Yost,challenger,Sean Yost - Ward 6,I have set out five priorities to focus on as I knock on doors and talk to residents in my effort to win your vote. Please sign up at www.seanyost.ca for more information. I will also be putting out more information on these issues through the campaign as I hear from voters.1. Real consultation2. Fiscal responsibility3. Supporting small business4. A Transparent City Hall5. Safe Communities
Ward 6,Steve Turner,challenger,Steve Turner - Ward 6,"Responsible Management of Your Tax Dollars-Say No to Public Art projects like the Blue Circle and Bowfort Towers.-Your Property Tax should only be paying for services that you need!-In your community – police, fire and emergency services; planning for the future of new and existing communities; and bylaw services.-In your city – maintenance of public spaces; disaster response services.-On the road – construction and maintenance of roads and pedestrian pathways; streetlights and traffic control; snow removal and street cleaning.-In the environment – the collection of garbage and recycling from our homes; and the care and management of parks and green spaces.-Other essential services – provide citizens access to information through 311; operate and maintain City facilities: and ensure planning and resources are in place to build a great city.-Calgary’s government must be open, responsive, accountable and transparent, delivering excellent services at a fair price.-Calgary should be the best place in Canada to start and grow a business.-Be as efficient and effective as possible, reducing costs and focusing on value-for-money.-Examine opportunities for alternative service delivery for competitiveness.-Balance demand for quality City services with affordable taxes.-Be more citizen focused in the City’s approach and delivery of service.Regularly collaborate and engage citizens to encourage participation in City decision-making, and better communicate the reasons for the decisions.-Effectively manage the City’s inventory of public assets, optimizing limited resources to balance growth and maintenance requirements.-Increase collaboration across City departments, including alignment of budgets with service delivery to achieve City priorities.Public Safety-Every Calgarian has the right to live in a safe neighbourhood.-People and goods must be able to move safely throughout the city.-Keep communities safe by meeting and maintaining standards for crime prevention, law enforcement and fire response.-Prioritization of essential services includes allocation of resources primarily to the Calgary Police Service and Calgary Fire Department.-Ensure and enhance the City’s capacity and resiliency to prepare for and respond to emergency situations such as flooding.-Promotion of public safety through education, prevention and partnerships.Infrastructure and Development of Well-Planned, Livable Communities-Systematically invest in established neighbourhoods as they evolve to accommodate changing community needs.-Develop a new funding framework to provide for infrastructure in new and redeveloping neighbourhoods.-Invest in strategic road improvements in priority growth areas.-Maximize the efficient flow of traffic in the existing transportation network.-Manage and promote growth to achieve the best possible outcomes."
